firstName,LastName,email,major
Ivan,Bradley,,Graphic Communication
J,Patton,,Mechanical Engineering
Jack,Rabin,,Agricultural and Environmental Plant Sciences
Jacqueline,Doremus,,Economics
Jacquelyn,Belknap,,English
Jake,Feldman,,Architectural Engineering
James,Ahern,,Agribusiness
James,Bagnall,,Architecture
James,Burleson,,Business
James,Eason,,Engineering
James,Coleman,,Social Sciences
James,Eickemeyer,,Physics
James,Kaney,,Business
James,Keese,,Social Sciences
James,Locascio,,Mechanical Engineering
James,Meagher,,Mechanical Engineering
James,Mwangi,,Architectural Engineering
James,Robertson,,Mathematics
James,Sena,,Business
James,Tejani,,History
James,Valdez,,Business
James,Widmann,,Mechanical Engineering
James,Zetzsche,,Bioresource and Agricultural Engineering
Jamie,Bunting,,Biology
Jane,Kennedy,,Mathematics
Jani,Meera,,Computer Science
Janice,Odell,,Business
Jason,Blank,,Biology
Jason,Elmwood,,Mathematics
Jason,Elwood,,Mathematics
Jason,Lepore,,Economics
Jason,Linn,,History
Jason,Peters,,English
Jason,Varley,,Computer Science
Jason,Williams,,Psychology
Jasper,Kahn,,Computer Science
Jay,Erker,,Chemistry
Jay,Olenowski,,Statistics
Jaymie,Noland,,Animal Science
Jean,Davidson,,Biology
Jean,Lee,,Materials Engineering
Jean,Williams,,Political Science
Jean-francois,Coget,,Business
Jeff,Armstrong,,Religious Studies
Jeff,Gervasi,,Mathematics
Jeffery,Gerfen,,Engineering
Jeffrey,Danes,,Business
Jeffrey,Liese,,Mathematics
Jeffrey,Sklar,,Statistics
Jeffrey,Tolin,,Business
Jenell,Navarro,,Ethnic Studies
Jenn,Yost,,Biology
Jennie,Enholm,,Business
Jennifer,Ashley,,English
Jennifer,Bates,,English
Jennifer,Carver,,Business
Jennifer,Denbow,,Political Science
Jennifer,Klay,,Physics
Jennifer,Lewis,,Social Sciences
Jennifer,Peuker,,Mechanical Engineering
Jennifer,Retsek,,Chemistry
Jennifer,Staniec,,Animal Science
Jennifer,Yost,,Biology
Jens,Omli,,Science and Mathematics
Jeremy,Bowling,,Political Science
Jeremy,Dickinson,,Philosophy
Jeremy,Teitelbaum,,Communication Studies
Jermaine,Washington,,Architecture
Jesse,Maddren,,Mechanical Engineering
Jianbiao,Pan,,Industrial and Manufacturing Engineering
Jill,Nelson,,Architectural Engineering
Jill,Speece,,Industrial and Manufacturing Engineering
Jim,Cushing,,English
Jim,Kaney,,Business
Jim,Locascio,,Mechanical Engineering
Jim,Mcdowell,,Business
Jim,Mueller,,Mathematics
Jimmy,Doi,,Statistics
Jnan,Blau,,Communication Studies
Jo,Hose,,Biomedical Engineering
Joachim,Scholz,,Business
Joan,Lindsey-mullikin,,Business
Joanna,Laird,,Chemistry
Jodi,Christiansen,,Physics
Jodie,Steele,,Communication Studies
Joe,Lynch,,Philosophy
Joe,Mello,,Mechanical Engineering
Joel,Orth,,History
Joel,Westwood,,English
Joesph,Mello,,Mechanical Engineering
Johanna,Rubba,,English
John,Battenburg,,English
John,Bellardo,,Computer Science
John,Chen,,Mechanical Engineering
John,Clements,,Computer Science
John,Coroneus,,Physics
John,Crandall,,Agriculture
John,Dalbey,,Computer Science
John,Dobson,,Business
John,Fabijanic,,Mechanical Engineering
John,Hampsey,,English
John,Jasbinsek,,Physics
John,Keller,,Physics
John,Lange,,Architecture
John,Larson,,Mechanical Engineering
John,Lawson,,Architectural Engineering
John,Marlier,,Chemistry
John,Patrick,,Communication Studies
John,Planck,,Computer Engineering
John,Ridgely,,Mechanical Engineering
John,Saghri,,Electrical Engineering
John,Seng,,Computer Engineering
John,Sharpe,,Physics
John,Walker,,Statistics
Jon,Bartel,,English
Jon,Tarantino,,Aerospace Engineering
Jonathan,Fernsler,,Physics
Jonathan,Gotsick,,English
Jonathan,James,,Economics
Jonathan,Reich,,Architecture
Jonathan,Shapiro,,Mathematics
Jonathan,Ventura,,Computer Science
Jonathan,Wilson,,History
Jonathan,York,,Business
Jose,Macedo,,Industrial and Manufacturing Engineering
Jose,Navarro,,English
Joseph,Borzellino,,Mathematics
Joy,Montoya,,Graphic Communication
Joyce,Linn,,Mathematics
Judith,Cross,,Philosophy
Juleen,Packard,,Liberal Studies
Julia,Woolley,,Communication Studies
Juliana,Huzzey,,Animal Science
Juliana,Trunzo,,Biology
Julie,Workman,,Computer Science
Junko,Cleave,,Japanese
Justin,Frentzel,,City and Regional Planning
Justin,Swanson,,English
Kafka,S,,Aerospace Engineering
Karen,Bangs,,Industrial and Manufacturing Engineering
Karen,Mcgaughey,,Statistics
Karl,Lund,,Agriculture
Karl,Saunders,,Physics
Karla,Carichner,,Materials Engineering
Kate,Riley,,Mathematics
Katharina,Gillen,,Physics
Katharine,Watts,,Chemistry
Katherine,Chen,,Materials Engineering
Kathleen,Cairns,,History
Kathleen,Martin,,Ethnic Studies
Kathryn,Eppright,,Business
Kathryn,Mulholland,,Political Science
Kathryn,Rummell,,English
Kathryn,Vasilaky,,Economics
Katya,Cengel,,Journalism
Keela,Retallick,,Animal Science
Keith,Abney,,Philosophy
Keli,Moore,,Journalism
Kelle,Brooks,,Architecture
Kelly,Bodwin,,Statistics
Kelly,Main,,City and Regional Planning
Kenneth,Habib,,Music
Kenneth,Mckell,,Electrical Engineering
Kent,Macdonald,,Architecture
Kevin,Brouwers,,Mechanical Engineering
Kevin,Clancy,,Statistics
Kevin,Deszendeffy,,Mathematics
Kevin,Dong,,Architectural Engineering
Kevin,Kuhn,,Aerospace Engineering
Kevin,Ross,,Statistics
Kevin,Williams,,Industrial and Manufacturing Engineering
Kim,Bisheff,,Journalism
Kim,Sprayberry,,Animal Science
Kimberly,Westermann,,Business
Kira,Aberbromby,,Aerospace Engineering
Kirk,Sturm,,Agriculture
Kris,Hamann,,Industrial and Manufacturing Engineering
Kris,Lawrence,,Mechanical Engineering
Krista,Kauffmann,,English
Kristen,Cardinal,,Biomedical Engineering
Kristen,Logan,,Political Science
Kristo,Aleksandra,,Food Science and Nutrition
Kristofer,Fox,,Computer Science
Krithika,Venkataramani,,Physics
Kuboi,Toshihiro,,Computer Science
Kurt,Behpour,,Electrical Engineering
Kurt,Colvin,,Industrial and Manufacturing Engineering
Kurt,Mammen,,Computer Science
Kurt,Voelker,,Computer Science
Kyle,Debernardi,,Industrial and Manufacturing Engineering
Lanny,Griffin,,Biomedical Engineering
Larisa,Veloz,,History
Larry,Gorman,,Business
Larry,Raio,,Soil Science
Larry,Spiegel,,Industrial Technology and Packaging
Laura,Andes,,Philosophy
Laura,Freberg,,Psychology
Laura,Kramer,,Music
Lauren,Kolodziejski,,Communication Studies
Lawrence,Sze,,Mathematics
Leah,Katona,,Communication Studies
Leanne,Berning,,Dairy Science
Lee,Burgunder,,Business
Lee,Mcfarland,,Industrial and Manufacturing Engineering
Lee,Rincker,,Animal Science
Lei-da,Chen,,Business
Les,Pennelly,,Statistics
Leslie,john,,English
Lewis,Call,,History
Li,Dang,,Business
Linda,Blonsley,,Business
Linda,Bomstad,,Philosophy
Linda,Patton,,Mathematics
Linda,Vannasupa,,Materials Engineering
Lindsey,Higgins,,Agribusiness
Lisa,Coffman,,English
Lisa,Kawamura,,Communication Studies
Lisa,Simon,,Business
Livingston,Morgan,,English
Liz,Johnston,,Social Sciences
Liz,Schlemer,,Industrial and Manufacturing Engineering
Logan,Lossing,,Statistics
Lois,Brady,,Computer Science
Loren,Kline,,Electrical Engineering
Lorraine,Donegan,,Graphic Communication
Lorraine,Jackson,,Communication Studies
Lu,Lei,,Physics
Lyndee,Small,,Graphic Communication
Lynn,Hamilton,,Agribusiness
Lynn,Metcalf,,Business
Lynne,Nagle,,Music
Lynne,Slivovsky,,Electrical Engineering
Maddox,Sean,,English
Madeline,Schroth-glanz,,Statistics
Mahdi,Rastad,,Business
Mahmood,Nahvi,,Electrical Engineering
Majid,Poshtan,,Electrical Engineering
Malcolm,Keif,,Graphic Communication
Manzar,Foroohar,,Ethnic Studies
Marc,Horney,,Animal Science
Margaret,Bodemer,,Social Sciences
Margaret,Pedone,,Architecture
Margarida,Yin,,Architecture
Maria,Pantoja,,Computer Engineering
Marian,Robbins,,Mathematics
Marianne,Mcgarry-wolf,,Agribusiness
Marie,Yeung,,Microbiology
Marilyn,Tseng,,Food Science and Nutrition
Mark,Edwards,,Animal Science
Mark,Miller,,Music
Mark,Roberts,,English
Mark,Shelton,,Agriculture
Mark,Stankus,,Mathematics
Mark,Zohns,,Bioresource and Agricultural Engineering
Martin,Battle,,Political Science
Martin,Koch,,Industrial and Manufacturing Engineering
Martin,Mehl,,Communication Studies
Marty,Kaliski,,Electrical Engineering
Mary,Cooper,,Mechanical Engineering
Mary,Cowitz,,Liberal Studies
Mary,Forte,,English
Mason,Medizade,,Mechanical Engineering
Matt,Burd,,Animal Science
Matt,Carlton,,Statistics
Matt,Mewes,,Physics
Matt,White,,Mathematics
Matthew,Burd,,Animal Science
Matthew,Cole,,Economics
Matthew,Hopper,,History
Matthew,Moelter,,Physics
Matthew,Moore,,Political Science
Matthew,Roberts,,Business
Matthew,White,,Mathematics
Maurica,Fitzgibbons,,Natural Resources
Mauricio,Saavedra,,Political Science
Meg,Streiff,,Social Sciences
Megan,Carter,,Agribusiness
Megan,Lambertz-berndt,,Communication Studies
Megan,O'neill,,Computer Science
Meika,Clucas,,Social Sciences
Melanie,Senn,,English
Melinda,Keller,,Mechanical Engineering
Melissa,Illingworth,,Chemistry
Menka,Sethi,,Business
Meredith,Brammeier,,Music
Meredith,Sattler,,Architecture
Michael,Boswell,,City and Regional Planning
Michael,Carver,,History
Michael,Deigert,,Architectural Engineering
Michael,Heying,,Chemistry
Michael,Jencks,,City and Regional Planning
Michael,Jones,,Biology
Michael,Latner,,Political Science
Michael,Lucas,,Architecture
Michael,Marlow,,Economics
Michael,Mogull,,Mathematics
Michael,Wilson,,Electrical Engineering
Michael,Winn,,English
Michele,Roest,,Biology
Michelle,Curry,,Business
Michelle,Haddock,,Aerospace Engineering
Mike,Ion,,Mathematics
Mike,Marlow,,Economics
Mike,Robertson,,Mathematics
Miles,Braten,,Chemistry
Miranda,Canestro,,Natural Resources
Mitch,Wolf,,Business
Mohammad,Noori,,Mechanical Engineering
Mohammad,Sahlabadi,,Mechanical Engineering
Molly,Loberg,,History
Morgan,Metheny,,Animal Science
Morgan,Sherman,,Mathematics
Mostafa,Chinichian,,Electrical Engineering
Muhammad,Ajaib,,Physics
Nancie,Hudson,,Communication Studies
Nancy,Arrington,,Political Science
Nathan,Heston,,Physics
Nathan,Keim,,Physics
Nathan,Perry,,History
Nazeih,Botros,,Aerospace Engineering
Neal,Macdougall,,Agribusiness
Neil,King,,Business
Nicholas,Babin,,Natural Resources
Nicholas,Sakellariou,,Computer Science
Nicole,Jacobs,,English
Nilgun,Sungar,,Physics
Nina,Truch,,Communication Studies
Ning,Zhang,,Political Science
Nisa,Morey,,Chemistry
Noah,Zwarg,,Mathematics
Norm,Borin,,Business
Oleg,Kogan,,Physics
Olga,Dekhtyar,,Statistics
Paige,Gill,,Agribusiness
Pam,Ridgely,,Mechanical Engineering
Pamalee,Brady,,Architectural Engineering
Patricia,Piburn,,Journalism
Patricia,Dahm,,Business
Patricia,Kuznetsoff,,English
Patricia,Mcquaid,,Business
Patrick,Frisco,,Communication Studies
Patrick,Howe,,Journalism
Patrick,Lin,,Philosophy
Patrick,Wallen,,Electrical Engineering
Paul,Choboter,,Mathematics
Paul,Hatalsky,,Computer Science
Paul,Hiltpold,,History
Paul,Hummel,,Electrical Engineering
Paul,Marchbanks,,English
Paul,Miklowitz,,Philosophy
Paul,Redden,,Construction Management
Paul,Rinzler,,Music
Paul,Stegner,,English
Paul,Weber,,Construction Management
Paula,Soder,,Business
Pete,Schwartz,,Physics
Peter,Laursen,,Architectural Engineering
Peter,Schuster,,Mechanical Engineering
Philip,Costanzo,,Chemistry
Phillip,Nico,,Computer Science
Phillip,Valle,,Theatre
Prashant,Srinivasan,,Physics
Pratish,Patel,,Business
Praveen,Babu,,Biology
Preston,Moon,,Political Science
Priscilla,Nguyen,,Mechanical Engineering
Rachel,Fern,,Philosophy
Radu,Popescu,,Architectural Engineering
Ralph,Battles,,Business
Ralph,Roesling,,Architecture
Rando,Walker,,Chemistry
Randy,Scovil,,Computer Science
Ray,Terry,,Mathematics
Rebecca,Bishop,,Mathematics
Rebecca,Harbison,,Physics
Rebecca,Heath,,Communication Studies
Rebecca,Laidlaw,,Communication Studies
Rebecca,Michaud,,Mathematics
Rebekah,Maples,,English
Regulus,Allen,,English
Reza,Pouraghabagher,,Industrial and Manufacturing Engineering
Rich,Murray,,Electrical Engineering
Richard,Besel,,Communication Studies
Richard,Emberley,,Mechanical Engineering
Richard,Gearhart,,Journalism
Richard,Grassl,,Mathematics
Richard,Graziano,,Philosophy
Richard,Silacci,,Dairy Science
Richard,Hart,,Construction Management
Ricky,Volpe,,Agribusiness
Ritch,Woffinden,,Communication Studies
Rob,Carter,,Materials Engineering
Robert,Arens,,Architecture
Robert,Duffin,,Physics
Robert,Easton,,Mathematics
Robert,Echols,,Physics
Robert,Holtzapple,,Physics
Robert,Inchausti,,English
Robert,Schaeffer,,Social Sciences
Robert,Smidt,,Statistics
Robert,Spiller,,Animal Science
Robert,Szlavik,,Biomedical Engineering
Rodrigo,Arredondo,,Animal Science
Roger,Hall,,History
Ronald,otter,,Political Science
Ronald,Mullisen,,Mechanical Engineering
Ronald,Taskey,,Soil Science
Roxanne,Rassti,,Psychology
Roy,Jafari,,Industrial and Manufacturing Engineering
Ruoxi,Ma,,Graphic Communication
Russ,Cummings,,Aerospace Engineering
Russ,Westphal,,Mechanical Engineering
Russell,Swanagon,,Liberal Studies
Ruth,Saunders,,Physics
Ryan,Alaniz,,Social Sciences
Ryan,Brockett,,Architecture
Ryan,Hatch,,English
Ryan,Jenkins,,Philosophy
Saba,Gerami,,Mathematics
Sadie,Johann,,English
Saeed,Niku,,Mechanical Engineering
Sally,Buffalo,,Journalism
Samir,Amin,,Food Science and Nutrition
Samuel,Agbo,,Electrical Engineering
Samuel,Frame,,Statistics
Sandra,Adam,,Agribusiness
Sandra,Lakeman,,Architecture
Sandra,Ward,,Chemistry
Sanja,Pantic,,Mathematics
Sara,Daubert,,Communication Studies
Sara,Frantz,,Art
Sarah,Bridger,,History
Sarah,Grieve,,English
Sarah,Harding,,Mechanical Engineering
Sarah,Spann,,Natural Resources
Sari,Pinto,,English
Scott,Englund,,Political Science
Scott,Ferree,,Spanish
Scott,Fraser,,Physics
Scott,Glysson,,Music
Scott,Johnston,,Physics
Scott,Patton,,Mechanical Engineering
Scott,Reaves,,Food Science and Nutrition
Sean,Echols,,Physics
Sean,Green,,English
Sean,Hurley,,Agribusiness
Sean,Lema,,Biology
Sean,Watson,,Mathematics
Seth,Hannah,,Sociology
Severus,Snape,,Chemistry
Shannon,Pileggi,,Statistics
Sharon,Dobson,,Business
Shelby,Burnett,,Mathematics
Shelley,Hurt,,Political Science
Sheree,Twisseleman,,Communication Studies
Shinjiro,Sueda,,Computer Science
Sholeh,Prochello,,English
Shoreh,Niku,,Food Science and Nutrition
Siamak,Javadi,,Business
Siddharth,Vyas,,Electrical Engineering
Sidika,Toker,,Materials Engineering
Sisi,Pouraghabagher,,Business
Solina,Lindahl,,Economics
Soma,Roy,,Statistics
Sonja,Schuster,,Business
Sophia,Forster,,English
Stacey,Rucas,,Social Sciences
